product,model,short_description_v2,full_description_v2,feature_section_title,features_v2,show_feature_section,application_tags_v2,hide_country_when_missing,catalog_show_specifications
Видеогастроскоп SonoScape EG-430,EG-430,Видеогастроскоп SonoScape EG-430 — гибкий видеогастроскоп для исследования верхних отделов желудочно-кишечного тракта.,"Видеогастроскоп SonoScape EG-430 предназначен для гастроскопических исследований пищевода, желудка и двенадцатиперстной кишки. Модель рассчитана на работу в эндоскопических отделениях и диагностических центрах.",Ключевые особенности,,Нет,Гастроэнтерология | Эндоскопические отделения | Диагностические центры,Да,Нет
Видеогастроскоп SonoScape EG-430L,EG-430L,Видеогастроскоп SonoScape EG-430L — гибкий видеогастроскоп для исследования верхних отделов желудочно-кишечного тракта.,"Видеогастроскоп SonoScape EG-430L предназначен для гастроскопических исследований пищевода, желудка и двенадцатиперстной кишки. Модель рассчитана на работу в эндоскопических отделениях и диагностических центрах.",Ключевые особенности,,Нет,Гастроэнтерология | Эндоскопические отделения | Диагностические центры,Да,Нет
Видеоколоноскоп SonoScape EC-500T,EC-500T,Видеоколоноскоп SonoScape EC-500T — гибкий видеоколоноскоп для исследования толстой кишки и проведения эндоскопических манипуляций.,"Видеоколоноскоп SonoScape EC-500T предназначен для диагностической и лечебной колоноскопии. Модель используется в гастроэнтерологии, эндоскопических отделениях и диагностических центрах.",Ключевые особенности,"Интеграция с видеоэндоскопическими системами SonoScape | Рабочая длина 1700 мм | Поле зрения 140° | Инструментальный канал 3,8 мм",Да,Колоноскопия | Гастроэнтерология | Эндоскопические отделения,Да,Нет
Видеоколоноскоп SonoScape EC-500L/T,EC-500L/T,Видеоколоноскоп SonoScape EC-500L/T — гибкий видеоколоноскоп для исследования толстой кишки и проведения эндоскопических манипуляций.,"Видеоколоноскоп SonoScape EC-500L/T предназначен для диагностической и лечебной колоноскопии. Модель используется в гастроэнтерологии, эндоскопических отделениях и диагностических центрах.",Ключевые особенности,"Интеграция с видеоэндоскопическими системами SonoScape | Рабочая длина 1700 мм | Поле зрения 140° | Инструментальный канал 4,2 мм",Да,Колоноскопия | Гастроэнтерология | Эндоскопические отделения,Да,Нет
Видеоколоноскоп SonoScape EC-430T,EC-430T,Видеоколоноскоп SonoScape EC-430T — гибкий видеоколоноскоп для исследования толстой кишки и проведения эндоскопических манипуляций.,"Видеоколоноскоп SonoScape EC-430T предназначен для диагностической и лечебной колоноскопии. Модель используется в гастроэнтерологии, эндоскопических отделениях и диагностических центрах.",Ключевые особенности,,Нет,Колоноскопия | Гастроэнтерология | Эндоскопические отделения,Да,Нет
Видеоколоноскоп SonoScape EC-430L/T,EC-430L/T,Видеоколоноскоп SonoScape EC-430L/T — гибкий видеоколоноскоп для исследования толстой кишки и проведения эндоскопических манипуляций.,"Видеоколоноскоп SonoScape EC-430L/T предназначен для диагностической и лечебной колоноскопии. Модель используется в гастроэнтерологии, эндоскопических отделениях и диагностических центрах.",Ключевые особенности,,Нет,Колоноскопия | Гастроэнтерология | Эндоскопические отделения,Да,Нет
Видеобронхоскоп SonoScape EB-5H20,EB-5H20,Видеобронхоскоп SonoScape EB-5H20 — гибкий видеоэндоскоп для визуального исследования дыхательных путей и проведения бронхоскопических процедур.,"Видеобронхоскоп SonoScape EB-5H20 предназначен для визуального исследования трахеи и бронхиального дерева. Модель подходит для использования в пульмонологии, бронхоскопии, анестезиологии и реаниматологии. Карточка интегрирована в каталог CyberMedica с коммерческими условиями «В наличии» и «Рассрочка 0%».",Ключевые особенности,"Интеграция с видеоэндоскопическими системами SonoScape | Дистальный конец 4,9 мм | Инструментальный канал 2,0 мм | Поддержка SFI и VIST",Да,Пульмонология | Бронхоскопия | Анестезиология и реаниматология,Да,Нет
Видеобронхоскоп SonoScape EB-5T28,EB-5T28,Видеобронхоскоп SonoScape EB-5T28 — гибкий видеоэндоскоп для визуального исследования дыхательных путей и проведения бронхоскопических процедур.,"Видеобронхоскоп SonoScape EB-5T28 предназначен для визуального исследования трахеи и бронхиального дерева. Модель подходит для использования в пульмонологии, бронхоскопии, анестезиологии и реаниматологии. Карточка интегрирована в каталог CyberMedica с коммерческими условиями «В наличии» и «Рассрочка 0%».",Ключевые особенности,Интеграция с видеоэндоскопическими системами SonoScape,Да,Пульмонология | Бронхоскопия | Анестезиология и реаниматология,Да,Нет
Видеобронхоскоп SonoScape EB-500,EB-500,Видеобронхоскоп SonoScape EB-500 — гибкий видеоэндоскоп для визуального исследования дыхательных путей и проведения бронхоскопических процедур.,"Видеобронхоскоп SonoScape EB-500 предназначен для визуального исследования трахеи и бронхиального дерева. Модель подходит для использования в пульмонологии, бронхоскопии, анестезиологии и реаниматологии. Карточка интегрирована в каталог CyberMedica с коммерческими условиями «В наличии» и «Рассрочка 0%».",Ключевые особенности,"Интеграция с видеоэндоскопическими системами SonoScape | Рабочая длина 600 мм | Поле зрения 120° | Инструментальный канал 2,0 мм",Да,Пульмонология | Бронхоскопия | Анестезиология и реаниматология,Да,Нет
Видеодуоденоскоп SonoScape ED-5GT,ED-5GT,Видеодуоденоскоп SonoScape ED-5GT — гибкий видеоэндоскоп для исследования двенадцатиперстной кишки и профильных эндоскопических процедур.,"Видеодуоденоскоп SonoScape ED-5GT предназначен для работы в гастроэнтерологии и эндоскопических отделениях, включая процедуры, требующие дуоденоскопического доступа.",Ключевые особенности,,Нет,Эндоскопия | Гастроэнтерология | ЭРХПГ,Да,Нет
Установка для мойки и дезинфекции Medinova ENDO CLEAN-1000,ENDO CLEAN-1000,Установка для автоматизированной мойки и дезинфекции одного гибкого эндоскопа с программируемыми режимами.,"Medinova ENDO CLEAN-1000 предназначена для мойки и дезинфекции одного гибкого эндоскопа; источник указывает ванну 15 л, цикл от 20 минут, автоматический впрыск спирта и встроенный принтер.",Ключевые особенности,Обработка одного эндоскопа | Ванна 15 л | Цикл от 20 минут | Автоматический впрыск спирта | Встроенный принтер,Да,Эндоскопические отделения | ЦСО | Диагностические центры,Да,Нет
Установка для мойки и дезинфекции Medinova ENDO CLEAN-2000,ENDO CLEAN-2000,Установка для одновременной автоматизированной мойки и дезинфекции двух гибких эндоскопов.,Medinova ENDO CLEAN-2000 рассчитана на обработку двух гибких эндоскопов и оснащена двумя стационарными и тремя вращающимися форсунками.,Ключевые особенности,Обработка двух эндоскопов | 2 стационарные форсунки | 3 вращающиеся форсунки | Осушение остаточной влаги,Да,Эндоскопические отделения | ЦСО | Диагностические центры,Да,Нет
Шкаф для сушки и хранения эндоскопов EC-5BD,EC-5BD,Шкаф для сушки и асептического хранения до 5 гибких эндоскопов.,EC-5BD предназначен для организованной сушки и хранения гибких эндоскопов после обработки.,Ключевые особенности,Вместимость до 5 эндоскопов | Вертикальное размещение | Фильтрация и обработка воздуха | Продувка каналов | HEPA H14 | УФ-обработка | Подогрев воздуха 25–45 °C | Встроенный принтер,Да,Эндоскопические отделения | ЦСО | Многопрофильные стационары,Да,Нет
Шкаф для сушки и хранения эндоскопов EC-10BD,EC-10BD,Шкаф для сушки и асептического хранения до 10 гибких эндоскопов.,EC-10BD предназначен для организованной сушки и хранения гибких эндоскопов после обработки.,Ключевые особенности,Вместимость до 10 эндоскопов | Вертикальное размещение | Фильтрация и обработка воздуха | Продувка каналов,Да,Эндоскопические отделения | ЦСО | Многопрофильные стационары,Да,Нет
Рабочая станция ERBE VIO с аргоновым модулем APC 2,VIO + APC 2,"Рабочая станция ERBE VIO с аргоновым модулем APC 2 для электрохирургических вмешательств, рассечения и коагуляции тканей.","Рабочая станция ERBE VIO с аргоновым модулем APC 2 предназначен для электрохирургических вмешательств и может использоваться в операционных и эндоскопических отделениях. На странице отображаются только подтвержденные характеристики, доступные в исходных данных.",Ключевые особенности,Режимы электрохирургического рассечения и коагуляции,Да,Операционные | Эндоскопические отделения | Хирургические отделения,Да,Нет
Коагулятор ERBE VIO 200 S,VIO 200 S,"Коагулятор ERBE VIO 200 S для электрохирургических вмешательств, рассечения и коагуляции тканей.","Коагулятор ERBE VIO 200 S предназначен для электрохирургических вмешательств и может использоваться в операционных и эндоскопических отделениях. На странице отображаются только подтвержденные характеристики, доступные в исходных данных.",Ключевые особенности,Режимы электрохирургического рассечения и коагуляции,Да,Операционные | Эндоскопические отделения | Хирургические отделения,Да,Нет
Коагулятор ERBE VIO 200 D,VIO 200 D,"Коагулятор ERBE VIO 200 D для электрохирургических вмешательств, рассечения и коагуляции тканей.","Коагулятор ERBE VIO 200 D предназначен для электрохирургических вмешательств и может использоваться в операционных и эндоскопических отделениях. На странице отображаются только подтвержденные характеристики, доступные в исходных данных.",Ключевые особенности,Режимы электрохирургического рассечения и коагуляции,Да,Операционные | Эндоскопические отделения | Хирургические отделения,Да,Нет
Коагулятор ERBE VIO 3,VIO 3,"Коагулятор ERBE VIO 3 для электрохирургических вмешательств, рассечения и коагуляции тканей.","Коагулятор ERBE VIO 3 предназначен для электрохирургических вмешательств и может использоваться в операционных и эндоскопических отделениях. На странице отображаются только подтвержденные характеристики, доступные в исходных данных.",Ключевые особенности,Режимы электрохирургического рассечения и коагуляции,Да,Операционные | Эндоскопические отделения | Хирургические отделения,Да,Нет
Электрохирургический аппарат BOWA ARC 303,ARC 303,"Электрохирургический аппарат BOWA ARC 303 для электрохирургических вмешательств, рассечения и коагуляции тканей.","Электрохирургический аппарат BOWA ARC 303 предназначен для электрохирургических вмешательств и может использоваться в операционных и эндоскопических отделениях. На странице отображаются только подтвержденные характеристики, доступные в исходных данных.",Ключевые особенности,Режимы электрохирургического рассечения и коагуляции,Да,Операционные | Эндоскопические отделения | Хирургические отделения,Да,Нет
Электрохирургический аппарат BOWA ARC 350,ARC 350,"Электрохирургический аппарат BOWA ARC 350 для электрохирургических вмешательств, рассечения и коагуляции тканей.","Электрохирургический аппарат BOWA ARC 350 предназначен для электрохирургических вмешательств и может использоваться в операционных и эндоскопических отделениях. На странице отображаются только подтвержденные характеристики, доступные в исходных данных.",Ключевые особенности,Режимы электрохирургического рассечения и коагуляции,Да,Операционные | Эндоскопические отделения | Хирургические отделения,Да,Нет
Электрохирургический аппарат BOWA ARC 400,ARC 400,"Электрохирургический аппарат BOWA ARC 400 для электрохирургических вмешательств, рассечения и коагуляции тканей.","Электрохирургический аппарат BOWA ARC 400 предназначен для электрохирургических вмешательств и может использоваться в операционных и эндоскопических отделениях. На странице отображаются только подтвержденные характеристики, доступные в исходных данных.",Ключевые особенности,Режимы электрохирургического рассечения и коагуляции,Да,Операционные | Эндоскопические отделения | Хирургические отделения,Да,Нет
Аппарат для диагностики печени iLivTouch,iLivTouch,"iLivTouch — аппарат для диагностики печени, предназначенный для использования в диагностических и лечебных подразделениях.",iLivTouch предназначен для диагностики печени в медицинских организациях. Карточка должна показывать только подтвержденные характеристики и изображения оборудования без дублирующих или водяных знаков.,Ключевые особенности,,Нет,Медицинские организации | Диагностические и лечебные подразделения,Да,Нет
Смотровой стол MET KS-350,KS-350,MET KS-350 — смотровой стол для оснащения медицинских кабинетов и проведения осмотров.,Смотровой стол MET KS-350 предназначен для оснащения медицинских кабинетов и размещения пациента во время осмотра и диагностических процедур.,Ключевые особенности,,Нет,Медицинские организации | Диагностические и лечебные подразделения,Да,Нет
Кушетка электромеханическая ZERTS с 1 электроприводом,1 электропривод,Электромеханическая кушетка ZERTS с одним электроприводом для оснащения медицинских и диагностических кабинетов.,Электромеханическая кушетка ZERTS предназначена для размещения пациента при осмотрах и процедурах. Электропривод используется для регулировки положения кушетки в рамках предусмотренной конструкцией функциональности.,Ключевые особенности,,Нет,Медицинские организации | Диагностические и лечебные подразделения,Да,Нет
